Episode Number,Airing Year,Episode Title,Rating,Plot
Episode #7.6,2016, 8 Out of 10 Cats Does Countdown,8,"Jimmy Carr hosts. Sean Lock and Vic Reeves versus Guest Captain Lee Mack and Sara Pascoe. Alex Horne and The Horne Section are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
New Year Special,2014, 8 Out of 10 Cats Does Countdown,7.9,"It's team captain Jon Richardson and Richard Osman vs team captain Johnny Vegas and Sara Pascoe on this New Year Special that says goodbye to 2016. Also, cider magician Joe Wilkinson fails an escape trick and David O'Doherty helps Susie."
Episode #4.5,2015, 8 Out of 10 Cats Does Countdown,7.9,"Bill Bailey, Jo Brand, Sean Lock and Jon Richardson compete in this week's countdown. Can Rachel control her massive crush on Bill?"
Episode #6.2,2015, 8 Out of 10 Cats Does Countdown,7.9,It's Roisin Conaty and Sean Lock vs. Jon Richardson and Jack Whitehall. Rob Beckett joins Susie Dent in Dictionary Corner.
Episode #6.5,2015, 8 Out of 10 Cats Does Countdown,7.9,It's Vic Reeves and Sean Lock vs. Jon Richardson and Bob Mortimer. Jack Whitehall joins Susie Dent in Dictionary Corner.
Episode #7.10,2016, 8 Out of 10 Cats Does Countdown,7.9,It's Johnny Vegas and Sean Lock vs. Sarah Millican and Rob Beckett. Vic Reeves joins Susie Dent in Dictionary Corner.
Episode #11.2,2017, 8 Out of 10 Cats Does Countdown,7.9,Jimmy Carr hosts. Sean Lock and Miles Jupp versus Guest Captain Lee Mack and Catherine Tate. John Cooper Clarke is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #14.1,2018, 8 Out of 10 Cats Does Countdown,7.9,"Jimmy Carr hosts. Guest Captain Alan Carr and Kevin Bridges versus Jon Richardson and Cariad Lloyd. Elis James and John Robins are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #16.3,2020, 8 Out of 10 Cats Does Countdown,7.8,"Jimmy Carr hosts. Sean Lock and Miles Jupp versus Guest Captain Alan Carr and Roisin Conaty. Tom Binns in the character of Ivan Brackenbury is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #19.3,2022, 8 Out of 10 Cats Does Countdown,7.8,"Team captain Sean 'Who's Hot and Who's Not' Lock and Richard 'Ambivalence' Ayoade face team captain Jon 'The Dude' Richardson, Katherine Ryan and her high school ex. Hosted by Susie Dent, David ""DJ"" O'Doherty, Rachel Riley and Jimmy Carr."
Episode #23.5,2022, 8 Out of 10 Cats Does Countdown,7.8,"This week, the team of Roisin Conaty and Joe Wilkinson play against Jon Richardson and Nabil Abdulrashid. David O'Doherty is in Dictionary Corner."
Christmas Special 2022,2013, 8 Out of 10 Cats Does Countdown,7.8,Jimmy Carr invites Jon Richardson and Jack Dee to take on Lee Mack and Rose Matafeo in a festive-themed edition of the comedy version of the daytime game show. They're joined by guests Stevie Martin and Joe Wilkinson.
Episode #2.1,2014, 8 Out of 10 Cats Does Countdown,7.8,"Rhod Gilbert, Jason Manford, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #4.6,2014, 8 Out of 10 Cats Does Countdown,7.8,"Rachel's love interest Bill Bailey, along with Josh Widdicombe, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #5.3,2015, 8 Out of 10 Cats Does Countdown,7.8,"Jimmy Carr hosts. Sean Lock, Jo Brand and Jono O'Neill ""octochamp of regular Countdown"" versus Jon Richardson, Vic Reeves and Rob Beckett. Adam Buxton is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #7.5,2015, 8 Out of 10 Cats Does Countdown,7.8,"Jimmy Carr hosts. Sean Lock and Miles Jupp versus Jon Richardson and Greg Davies. Holly Walsh is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #7.8,2015, 8 Out of 10 Cats Does Countdown,7.8,"It's Sean Lock and Roisin Conaty versus Sarah Millican and Rhod Gilbert. Surprisingly, Rachel Riley and Susie Dent join the teams during the final portion of the game. David O'Doherty is in Dictionary Corner and Jimmy Carr is the host."
Episode #7.9,2015, 8 Out of 10 Cats Does Countdown,7.8,"It's Antoinette Ryan, Seann Walsh and Sean Lock vs. Joe Wilkinson and Danny Dyer. Bill Bailey joins Susie Dent in Dictionary Corner."
Episode #7.14,2015, 8 Out of 10 Cats Does Countdown,7.8,It's Bill Bailey and Sean Lock vs. Joe Wilkinson and Isy Suttie. Joe Lycett joins Susie Dent in Dictionary Corner.
Episode #7.17,2016, 8 Out of 10 Cats Does Countdown,7.8,"Jimmy Carr hosts. Sean Lock and Greg Davies versus Jon Richardson and Holly Walsh. Vic Reeves is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Chris Eubank."
Christmas Special 2016,2017, 8 Out of 10 Cats Does Countdown,7.8,"Sean Lock and Kathy Burke face Jon Richardson and Russell Howard in the 2016 Christmas Special. Joe Lycett joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board, Jimmy Carr hosts, and Santa Joe Wilkinson is mugged."
Christmas Special 2017,2020, 8 Out of 10 Cats Does Countdown,7.7,"Jon Richardson and Catherine Tate face Sean Lock and Joe Wilkinson in the 2017 Christmas Special. Joe Lycett joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Episode #20.3,2020, 8 Out of 10 Cats Does Countdown,7.7,"Sean Lock and Daisy May Cooper face Richard Ayoade and Ivo Graham. Adam Buxton joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown Board, Joe Wilkinson and his rival have a fortune teller booth race, Jimmy Carr hosts."
Christmas Special 2020,2013, 8 Out of 10 Cats Does Countdown,7.7,"...Christmas Special: Jimmy Carr, Susie Dent and Rachel Riley host a festive edition. Jon Richardson and Sarah Millican take on Sean Lock and David Mitchell. With guest David O'Doherty."
Episode #1.2,2013, 8 Out of 10 Cats Does Countdown,7.7,"Guest team captain Lee Mack and Richard Osman face team captain Jon Richardson and Stephen Mangan. Henning Wehn joins Susie Dent in Dictionary Corner, Joe Wilkinson joins Rachel Riley at the Countdown board and Jimmy Carr hosts."
Episode #2.5,2014, 8 Out of 10 Cats Does Countdown,7.7,"Lee Mack, Bob Mortimer, Adam Hills and Jon Richardson compete in this week's countdown."
Episode #3.6,2014, 8 Out of 10 Cats Does Countdown,7.7,"James Corden, Kevin Bridges, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #4.2,2014, 8 Out of 10 Cats Does Countdown,7.7,"Freddie Flintoff, Rhod Gilbert, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #4.3,2014, 8 Out of 10 Cats Does Countdown,7.7,"Rob Beckett, Josie Long, Sean Lock, and Jon Richardson compete in this week's countdown."
Episode #5.2,2015, 8 Out of 10 Cats Does Countdown,7.7,"Jimmy Carr hosts. Sean Lock and Trevor Noah versus Jon Richardson and David Baddiel. Joey Essex is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Alex Horne and the Horne Section."
Episode #6.4,2015, 8 Out of 10 Cats Does Countdown,7.7,It's Romesh Ranganathan and Sean Lock vs. Jon Richardson and Johnny Vegas. Josie Long joins Susie Dent in Dictionary Corner.
Episode #7.11,2016, 8 Out of 10 Cats Does Countdown,7.7,"Jimmy Carr hosts. Sean Lock and Mel Giedroyc vs guest captain Lee Mack with David O'Doherty. Susie Dent is joined by Adam Buxton in Dictionary Corner, with Rachel Riley."
Episode #9.4,2016, 8 Out of 10 Cats Does Countdown,7.7,It's Kevin Bridges and Sean Lock vs. Jon Richardson and Rebecca Front. Joe Lycett joins Susie Dent in Dictionary Corner.
Episode #10.1,2016, 8 Out of 10 Cats Does Countdown,7.7,"Jimmy Carr hosts. Sean Lock and Henning Wehn versus Jon Richardson and Victoria Coren Mitchell. Tom Allen is in Dictionary Corner with Susie Dent also stars Rachel Riley, Pat Sharp and Joe Wilkinson."
Episode #11.5,2017, 8 Out of 10 Cats Does Countdown,7.7,Jimmy Carr hosts. It's Guest Captain Richard Ayoade and Rob Beckett versus Jon Richardson and Claudia Winkleman. Adam Riches playing method actor Sean Bean is in Dictionary Corner with Susie Dent. Also stars Rachel Riley.
Episode #13.1,2018, 8 Out of 10 Cats Does Countdown,7.7,"Jimmy Carr hosts. Sean Lock and Michelle Wolf versus Jon Richardson and Joe Lycett. Adam Riches is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Richard Osman."
Episode #16.4,2018, 8 Out of 10 Cats Does Countdown,7.7,"It's Sean Lock and Rob Beckett vs Jon Richardson and Claudia Winkleman. Mr. Swallow (aka Nick Mohammed) assists Susie Dent, and mauling victim Joe Wilkinson brings a giant drunk angry bear with him and messes about."
Episode #16.6,2018, 8 Out of 10 Cats Does Countdown,7.7,"It's Richard Ayoade and Sean Lock vs. Jon Richardson and Jessica Knappett. Inspired by Click (2006), Richard tries to skip the show. Alex Horne and his band are in Dictionary Corner with Susie, Rachel is at the board, and Jimmy hosts."
Episode #16.8,2019, 8 Out of 10 Cats Does Countdown,7.6,"It's Sean Lock, his ideas for a ""Nazi Island"" show, and Roisin Conaty vs. Alan Carr, Joe Lycett and Joe's masseuse. The wacky Spencer Jones joins Susie in Dictionary Corner, Rachel is at the Countdown board and Jimmy hosts."
Episode #18.7,2021, 8 Out of 10 Cats Does Countdown,7.6,"It's team captain Sean Lock and Katherine Ryan vs. team captain Jon Richardson and Joe Wilkinson. Susie Dent and Adam Riches (as actor Sean Bean) are in Dictionary Corner, Rachel Riley is at the Countdown Board, Jimmy Carr hosts."
Episode #21.6,2022, 8 Out of 10 Cats Does Countdown,7.6,"Jimmy Carr hosts. Guest Captain Lee Mack and Katherine Ryan versus Jon Richardson and Joe Wilkinson. Brett Domino Trio is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #22.3,2022, 8 Out of 10 Cats Does Countdown,7.6,"Roisin Conaty and Asim Chaudhry take on Jon Richardson and Josh Widdicombe. Bill Bailey is in Dictionary Corner. With Jimmy Carr, Rachel Riley and Susie Dent."
Episode #22.6,2022, 8 Out of 10 Cats Does Countdown,7.6,"In his final appearance the late Sean Lock is joined by Harry Hill to take on Jon Richardson and Rosie Jones. Mr Swallow, aka Nick Mohammed, is in Dictionary Corner. With Jimmy Carr, Susie Dent and Rachel Riley."
Episode #23.1,2022, 8 Out of 10 Cats Does Countdown,7.6,The 23rd series of the comedy version of the famous words and numbers game commences with the husband and wife team of Jon Richardson and Lucy Beaumont taking on Richard Ayoade and Joe Wilkinson. Finlay Christie is in Dictionary Corner.
Episode #23.4,2023, 8 Out of 10 Cats Does Countdown,7.6,"On tonight's edition of the words and numbers game show mash-up, the team of Richard Ayoade and Sara Pascoe take on Jon Richardson and Chris McCausland. Morgana Robinson is in Dictionary Corner."
Episode #24.1,2013, 8 Out of 10 Cats Does Countdown,7.6,Jimmy Carr invites Jonathan Ross and Joe Wilkinson to take on Roisin Conaty and Ahir Shah in the cheeky comical version of the words and numbers game show. Catherine Cohen joins Susie Dent in Dictionary Corner. With Dr Anne-Marie Imafidon.
Episode #2.3,2013, 8 Out of 10 Cats Does Countdown,7.6,"Sarah Millican, Humphrey Ker, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #2.4,2014, 8 Out of 10 Cats Does Countdown,7.6,"Sarah Millican, Chris Ramsey, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #3.5,2014, 8 Out of 10 Cats Does Countdown,7.6,"James Corden, Jack Dee, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #4.4,2014, 8 Out of 10 Cats Does Countdown,7.6,"Stephen Mangan, Jason Manford, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #5.1,2015, 8 Out of 10 Cats Does Countdown,7.6,"Jimmy Carr hosts. Sean Lock and Roisin Conaty versus Jon Richardson and David Mitchell. Phill Jupitus is in Dictionary Corner with Susie Dent, also stars Rachel Riley, Dennis Taylor and Joe Wilkinson."
Episode #6.6,2016, 8 Out of 10 Cats Does Countdown,7.6,"It's Jen Steadman, Jason Manford and Sean Lock vs. Sarah Millican, Jonathan Ross and Roisin Conaty. Bill Bailey joins Susie Dent in Dictionary Corner."
Episode #8.3,2018, 8 Out of 10 Cats Does Countdown,7.6,It's Miles Jupp and Sean Lock vs. Jon Richardson and Sara Pascoe. Sam Simmons joins Susie Dent in Dictionary Corner.
Episode #16.7,2015, 8 Out of 10 Cats Does Countdown,7.6,"It's Sean Lock, his giant gong and Kevin Bridges vs. Joe Wilkinson and Victoria Coren Mitchell. In Dictionary Corner, Adam Kay shares his anecdotes from the doctor's office. Jimmy Carr hosts and makes everyone play a trivia quiz."
Episode #6.3,2018, 8 Out of 10 Cats Does Countdown,7.6,It's Reginald D. Hunter and Sean Lock vs. Jon Richardson and Aisling Bea. Holly Walsh joins Susie Dent in Dictionary Corner.
Christmas Special 2018,2019, 8 Out of 10 Cats Does Countdown,7.6,"Sean Lock and Kathy Burke face Jon Richardson and David Mitchell in the 2018 Christmas Special. James Acaster joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts. Joe Wilkinson also drops by."
Episode #17.3,2019, 8 Out of 10 Cats Does Countdown,7.6,"Team captain Sean Lock and Joe Wilkinson face guest team captain Richard Ayoade and Aisling Bea. Tom Allen joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts. Sean brings some unusual balloons, Joe fails at math, Tom chastises children's art, Richard obsesses over the switcheroo comedy White Chicks (2004), Rachel and Aisling pull a little switcheroo of their own, and Jimmy takes a dive."
Episode #17.6,2019, 8 Out of 10 Cats Does Countdown,7.5,"Team captain Sean Lock and Joe Wilkinson face team captain Jon Richardson and Harriet Kemsley. Prank comedian James Veitch joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Episode #18.3,2020, 8 Out of 10 Cats Does Countdown,7.5,"It's team captain Sean Lock and Joe Wilkinson vs. team captain Jon Richardson and Sara Pascoe. Susie Dent and Sam Simmons are in Dictionary Corner, Rachel Riley, who celebrates a jubilee, is at the Countdown Board and Jimmy Carr hosts."
Episode #19.6,2022, 8 Out of 10 Cats Does Countdown,7.5,"Sean Lock and his BFF, Harriet Kemsley, face Jon Richardson and Chris McCausland. Cinephile Nick Helm joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts. Giant Joe Wilkinson also drops by."
Episode #22.4,2022, 8 Out of 10 Cats Does Countdown,7.5,Jimmy Carr hosts as Lee Mack and Joe Wilkinson take on Jon Richardson and Jessica Knappett. Comedian Nigel Ng joins Susie Dent in Dictionary Corner. With Rachel Riley.
Episode #23.2,2014, 8 Out of 10 Cats Does Countdown,7.5,It won't just be Jimmy Carr's jokes that cause a stink in this edition of the comedy game show as Alan Carr and Harriet Kemsley play against Jonathan Ross and Maisie Adam. Huge Davies is in Dictionary Corner.
Episode #3.2,2014, 8 Out of 10 Cats Does Countdown,7.5,"Aisling Bea, Miles Jupp, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #3.3,2014, 8 Out of 10 Cats Does Countdown,7.5,"Josh Widdicombe, Kathy Burke, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #4.1,2014, 8 Out of 10 Cats Does Countdown,7.5,Jonathan Ross joins captain Jon Richardson and they compete for the Countdown Toaster against captain Sean Lock and Roisin Conaty.
Episode #4.7,2015, 8 Out of 10 Cats Does Countdown,7.5,"Jimmy Carr hosts. Sean Lock and Bob Mortimer versus Jon Richardson and Richard Osman. Matthew Crosby is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Joe Wilkinson."
Episode #7.2,2015, 8 Out of 10 Cats Does Countdown,7.5,"Jimmy Carr hosts. Sean Lock and Kevin Bridges versus Jon Richardson and Kathy Burke. Joe Lycett is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Nick Helm."
Episode #7.16,2016, 8 Out of 10 Cats Does Countdown,7.5,"Jimmy Carr hosts. Sean Lock and Sara Pascoe versus Jon Richardson and Josh Widdicombe with mascot Alex Brooker. Alex Horne and the Horne Section are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #8.1,2016, 8 Out of 10 Cats Does Countdown,7.5,Jimmy Carr hosts. Sean Lock and Jason Manford versus Jon Richardson and Roisin Conaty. Sam Simmons is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #8.2,2016, 8 Out of 10 Cats Does Countdown,7.5,Jimmy Carr hosts. Sean Lock and Rob Beckett versus Jon Richardson and Cariad Lloyd. Jamie Laing is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #8.4,2016, 8 Out of 10 Cats Does Countdown,7.5,Jimmy Carr hosts. Sean Lock and Isy Suttie versus Jon Richardson and Richard Osman. Alex Horne and The Horne Section are in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #9.1,2017, 8 Out of 10 Cats Does Countdown,7.5,Jimmy Carr hosts. Sean Lock and Vic Reeves versus Jon Richardson and Aisling Bea. David O'Doherty is in Dictionary Corner with Susie Dent also stars Rachel Riley and Brian Belo.
Episode #13.2,2017, 8 Out of 10 Cats Does Countdown,7.5,"Guest team captain Lee Mack and Victoria Coren Mitchell face team captain Jon Richardson and Jonathan Ross. Jessie Cave joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Episode #14.4,2018, 8 Out of 10 Cats Does Countdown,7.5,"Jimmy Carr hosts. Sean Lock and Vic Reeves versus Jon Richardson and Sara Pascoe. David O'Doherty is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #16.5,2019, 8 Out of 10 Cats Does Countdown,7.4,"It's Sean Lock and Phil Wang vs. Alan Carr and Harriet Kemsley. David O'Doherty is in Dictionary Corner with Susie Dent, Rachel Riley is at the Countdown board and Jimmy Carr hosts. Joe Wilkinson also drops by wearing doors as clothes."
Episode #18.2,2021, 8 Out of 10 Cats Does Countdown,7.4,"Sean Lock and Victoria Coren Mitchell vs Jon Richardson and James Acaster. Susie Dent and Morgana Robinson (undercover as ""Natalie Cassidy"") are in Dictionary Corner, Rachel Riley is at the board and Jimmy Carr hosts."
Christmas Special 2021,2012, 8 Out of 10 Cats Does Countdown,7.4,Jimmy Carr hosts alongside regulars Susie Dent and Rachel Riley. Jon Richardson and Sarah Millican take on Lee Mack and Jason Manford for this festive edition. They are joined by guests Nick Mohammed and Joe Wilkinson.
Original Programme (The Rematch of the Mashup),2013, 8 Out of 10 Cats Does Countdown,7.4,"It's rematch time. Sean Lock, Rachel Riley and Clarke Carlisle take on Jon Richardson and Joe Wilkinson in the second ever 8 Out of 10 Cats edition of Countdown. David O'Doherty joins Susie Dent in Dictionary Corner once again."
Episode #2.6: 1980s Special,2014, 8 Out of 10 Cats Does Countdown,7.4,"Lee Mack and David O'Doherty face Jon Richardson and Henning Wehn on this 1980s themed special. Vic Reeves joins Susie Dent in Dictionary Corner, Joe Wilkinson joins Rachel Riley at the Countdown board and nostalgic Jimmy Carr hosts."
Episode #3.4,2015, 8 Out of 10 Cats Does Countdown,7.4,"Dara O'Briain, Sharon Horgan, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #7.3,2015, 8 Out of 10 Cats Does Countdown,7.4,It's Rhod Gilbert and Sean Lock vs. Jon Richardson and Sara Pascoe. Johnny Vegas joins Susie Dent in Dictionary Corner.
Episode #7.1,2015, 8 Out of 10 Cats Does Countdown,7.4,"It's Paul Foot, Bill Bailey and Sean Lock vs. Sarah Millican, Rob Delaney and Romesh Ranganathan. Nina Conti joins Susie Dent in Dictionary Corner."
Episode #7.4,2015, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Sean Lock and Rob Beckett versus Jon Richardson and Katherine Ryan. Greg Davies is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #7.12,2015, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts, Sean Lock and Freddie Flintoff take on guest captain Bill Bailey with Roisin Conaty. Rob Beckett in dictionary Corner with Susie Dent and Rachel Riley"
Episode #7.13,2015, 8 Out of 10 Cats Does Countdown,7.4,Jimmy Carr hosts. Sean Lock and Liza Tarbuck take on special guest Captain Sarah Millican with the Romesh Ranganathan. Phil Jupitus is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #7.15,2016, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Sean Lock and Henning Wehn versus Guest Captain Bill Bailey and Jessica Hynes. Tom Allen is in Dictionary Corner with Susie Dent, also stars Rachel Riley. Jimmy teases Henning over WW2 and Sean blows Bill's alphorn."
Episode #11.3,2016, 8 Out of 10 Cats Does Countdown,7.4,Jimmy Carr hosts. Guest Captain David Walliams and Jessica Hynes versus Jon Richardson and Rhod Gilbert. Sam Simmons is in Dictionary Corner with Susie Dent also stars Rachel Riley and Brian Belo.
Episode #11.6,2016, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Sean Lock and Danny Dyer versus Guest Captain Joe Wilkinson and Gabby Logan. David O'Doherty is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #11.7,2017, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain David Mitchell and Cariad Lloyd versus Jon Richardson and Russell Howard. Sam Simmons is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #12.2,2017, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Russell Howard, Roisin Conaty and mascot Ninette Howard (Russell's Mum) versus Jon Richardson and Phil Wang. Nick Helm is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #12.3,2017, 8 Out of 10 Cats Does Countdown,7.4,Jimmy Carr hosts while Jon Richardson and David O'Doherty take on guest captain Johnny Vegas and Jamie Laing. Holly Walsh is in Dictionary Corner.
Episode #12.6,2017, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Jonathan Ross and Johnny Vegas versus Jon Richardson and Michelle Wolf. Pappy's (Ben Clark, Matthew Crosby and Tom Parry ) are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #12.7,2017, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Lee Mack and Sarah Millican versus Jon Richardson and James Acaster. John Cooper Clarke is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #14.2,2018, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Johnny Vegas and Bob Mortimer versus Guest Captain Kathy Burke and Roisin Conaty. John Cooper Clarke is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #15.2,2018, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Lee Mack and Victoria Coren Mitchell versus Guest Captain Alan Carr and Dane Baptiste. Sam Simmons is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #15.3,2018, 8 Out of 10 Cats Does Countdown,7.4,"Jimmy Carr hosts. Guest Captain Joe Wilkinson and Sara Pascoe versus Guest Captain Alan Carr and Josh Widdicombe. Bill Bailey is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #15.4,2019, 8 Out of 10 Cats Does Countdown,7.3,"It's Johnny Vegas and Rhod Gilbert vs. Joe Wilkinson and Roisin Conaty. Tom Allen is in Dictionary Corner, and Jimmy Carr hosts."
Episode #18.4,2019, 8 Out of 10 Cats Does Countdown,7.3,"It's team captain Sean Lock and Rob Beckett vs. guest team captain Alan Carr and Sarah Millican. Susie Dent and Mr. Swallow, who does a card trick, are in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #18.5,2020, 8 Out of 10 Cats Does Countdown,7.3,"It's team captain Sean Lock and Sara Pascoe vs. guest team captain Alan Carr and Tom Allen. Susie Dent and Rosie Jones are in Dictionary Corner, Rachel Riley is at the Countdown Board, Joe Wilkinson is in a papoose, and Jimmy Carr hosts."
Episode #19.4,2022, 8 Out of 10 Cats Does Countdown,7.3,"Team captain Sean Lock and Miles Jupp face team captain Jon Richardson and Sophie Duker. Comedians Lee and Dean join Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts. Joe Wilkinson also pops in."
Episode #22.5,2014, 8 Out of 10 Cats Does Countdown,7.3,Jimmy Carr hosts as Sarah Millican and Nish Kumar take on Jon Richardson and Maisie Adam. David O'Doherty joins Susie Dent in Dictionary Corner. With Rachel Riley.
Episode #3.1,2015, 8 Out of 10 Cats Does Countdown,7.3,"Kevin Bridges, Rhod Gilbert, Sean Lock and Jon Richardson compete in this week's countdown."
Episode #7.7,2016, 8 Out of 10 Cats Does Countdown,7.3,"Jimmy Carr hosts. Sean Lock and Bob Mortimer versus Guest Captain Sarah Millican and Katherine Ryan. Alex Horne and The Horne Section are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #9.2,2016, 8 Out of 10 Cats Does Countdown,7.3,It's Bob Mortimer and Sean Lock vs. Jon Richardson and Holly Walsh. Isy Suttie joins Susie Dent in Dictionary Corner.
Episode #9.3,2016, 8 Out of 10 Cats Does Countdown,7.3,It's Sara Pascoe and Johnny Vegas vs. Jon Richardson and Alex Brooker. Tom Allen joins Susie Dent in Dictionary Corner.
Episode #10.2,2017, 8 Out of 10 Cats Does Countdown,7.3,"Jimmy Carr hosts. Sean Lock and Roisin Conaty versus Jon Richardson and Nish Kumar. Adam Buxton is in Dictionary Corner with Susie Dent also stars Rachel Riley, Mr Motivator and Martin Offiah."
